02013	1
02016	3
02020	5306
02050	2
02060	1
02068	1
02070	2
02090	167
02100	4
02110	68
02122	72
02130	22
02150	23
02164	1
02170	119
02180	1
02185	3
02188	1
02201	4
02220	7
02232	4
02240	18
02261	9
02270	1
02280	14
02282	1
02290	6
01001   2326
01003	5210
01005	593
01007	537
01009	1715
01011	104
01013	471
01015	4092
01017	864
01019	855
01021	1137
01023	190
01025	528
01027	449
01029	476
01031	1179
01033	1358
01035	180
01037	142
01039	1117
01041	498
01043	2776
01045	1554
01047	778
01049	1682
01051	2899
01053	831
01055	3565
01057	534
01059	761
01061	879
01063	76
01065	238
01067	530
01069	3145
01071	1511
01073	11277
01075	483
01077	3255
01079	1249
01081	3081
01083	2332
01085	115
01087	155
01089	6959
01091	354
01093	861
01095	2813
01097	12046
01099	495
01101	6446
01103	2650
01105	47
01107	400
01109	694
01111	526
01113	1320
01115	2677
01117	3767
01119	48
01121	2239
01123	1028
01125	3736
01127	2406
01129	327
01131	144
01133	653
05001	376
05003	621
05005	742
05007	2831
05009	671
05011	184
05013	45
05015	450
05017	157
05019	342
05021	526
05023	562
05025	225
05027	394
05029	489
05031	1790
05033	1881
05035	794
05037	432
05039	154
05041	154
05043	380
05045	1854
05047	408
05049	208
05051	2175
05053	526
05055	1179
05057	460
05059	757
05061	252
05063	976
05065	187
05067	416
05069	1395
05071	480
05073	142
05075	533
05077	137
05079	233
05081	314
05083	621
05085	1614
05087	284
05089	230
05091	793
05093	1040
05095	137
05097	158
05099	198
05101	111
05103	534
05105	240
05107	290
05109	176
05111	666
05113	594
05115	1314
05117	174
05119	6671
05121	555
05123	367
05125	2338
05127	154
05129	135
05131	2520
05133	317
05135	402
05137	181
05139	959
05141	304
05143	3761
05145	1611
05147	126
05149	338
04001	116
04003	1864
04005	10819
04007	2767
04009	326
04011	56
04012	165
04013	298672
04015	25007
04017	496
04019	69017
04021	10097
04023	4898
04025	2652
04027	4075
06001	26921
06003	3
06005	787
06007	25641
06009	778
06011	186
06013	44932
06015	178
06017	3389
06019	48232
06021	593
06023	856
06025	950
06027	199
06029	33836
06031	5020
06033	1242
06035	314
06037	279556
06039	3939
06041	10497
06043	359
06045	854
06047	21548
06049	95
06051	63
06053	1780
06055	15504
06057	5552
06059	101250
06061	20931
06063	171
06065	106482
06067	59441
06069	473
06071	74306
